sn,bd1,bd2
269,0.407117,20.8501
270,22.9901,8.88003
271,0.108175,8.81003
272,13.7406,0.377276
273,0.577372,7.89397
274,28.6877,0.578483
275,0.320766,8.7041
276,17.7726,11.0075
277,19.1783,24.8612
278,16.9806,13.4645
279,14.6648,28.5132
280,19.6835,17.8829
281,8.98916,12.8586
282,0.32365,19.6945
283,18.8777,0.378207
284,14.0357,18.2276
285,15.4435,14.1331
286,18.0925,0.376862
287,8.66701,29.2477
288,15.7813,0.230621
289,0.362591,27.1459
290,21.1808,12.0146
291,16.2133,18.4018
292,11.9032,16.6697
293,18.5214,0.270379
294,10.4309,6.24831
295,9.10215,16.235
296,0.58781,27.8563
297,9.04781,0.29469
298,13.1036,26.1691
299,13.7735,0.405931
300,0.325839,24.2021
301,12.7203,12.3373
302,12.1166,10.2127
303,6.43372,7.16848
304,13.7666,6.4541
305,11.1409,6.58538
306,16.2476,18.3724
307,0.406533,16.6381
308,14.41,17.1316
309,13.71,0.512517
310,17.557,7.97007
311,8.72128,17.4204
312,14.5989,9.73428
313,0.313248,0.426138
314,14.8249,18.9595
315,19.9316,13.5397
316,9.22321,27.8396
317,0.42427,11.3461
318,20.2834,18.4537
319,0.425657,18.8764
320,12.0783,0.597517
321,9.29872,25.6134
322,16.1586,0.545103
323,10.7224,8.01541
324,0.630912,14.2486
325,8.2819,5.71234
326,8.57996,13.0062
327,0.304708,7.21707
328,11.1721,23.1722
329,8.73544,0.442414
330,9.95854,11.8849
331,12.1155,9.72428
332,9.68343,0.446483
333,12.7309,10.4651
334,0.479489,9.38317
335,9.45726,9.01852
336,0.345839,7.94517
337,13.9032,0.337345
338,10.7589,9.94031
339,8.22547,9.12452
340,0.650365,0.712931
341,14.5665,14.253
342,7.4408,13.7386
343,10.0348,0.240793
344,0.342263,15.8208
345,21.6347,13.1605
346,11.8673,9.92359
347,0.32208,13.2693
348,12.8919,6.31576
349,9.10949,0.31069
350,0.395438,6.48693
351,11.1092,15.2491
352,12.7519,12.1916
353,10.1281,13.6277
354,7.67887,15.3927
355,7.89248,0.258103
356,9.53376,2.93766
357,0.457591,6.81741
358,6.3642,6.33428
359,9.05453,26.595
360,13.4457,0.678414
361,9.33394,10.4516
362,9.84434,10.1559
363,9.18865,8.88138
364,0.393942,0.391966
365,6.88536,4.18641
366,13.1348,5.92266
367,17.1075,17.7721
368,9.54631,7.86366
369,5.80416,0.512759
370,11.2889,10.2447
371,0.598942,4.38286
372,8.41186,0.280069
373,0.55438,6.20997
374,15.5085,9.27752
375,13.0843,17.7264
376,6.07763,8.68779
377,5.52996,5.82214
378,11.4728,0.731241
379,10.1588,8.24093
380,6.68102,6.98266
381,6.56818,0.69769
382,4.47474,30.3854
383,4.20336,0.482483
384,0.484781,5.31762
385,4.68748,11.4374
386,0.625693,0.342345
387,6.19566,11.8689
388,4.34394,7.42207
389,6.26474,7.11838
390,5.85438,4.93179
391,5.16577,5.53983
392,3.68617,3.43797
393,5.33536,6.02672
394,5.78215,5.79983
395,4.51985,8.80686
396,2.59179,4.75934
397,5.66912,5.13886
398,6.15788,7.14979
399,7.02741,5.69869
400,0.632664,4.42086
401,3.66664,6.03269
402,7.09175,0.502207
403,0.359124,3.95441
404,6.6285,4.48014
405,5.21544,0.330207
406,0.369891,6.95807
407,6.57285,2.67562
408,6.60646,6.279
409,4.80307,0.421276
410,6.22672,5.12683
411,6.98478,5.67783
412,4.11219,0.434724
413,3.72526,3.39545
414,4.48478,5.61431
415,0.394489,0.53331
416,5.13701,5.52845
417,6.5777,4.2249
418,5.59555,0.354621
419,4.93106,7.1161
420,6.52839,0.398897
421,3.99547,6.6159
422,6.21318,4.28528
423,6.85945,5.27959
424,3.30343,6.08352
425,7.49912,0.577793
426,5.17741,3.47897
427,5.74416,3.84359
428,0.357372,4.87145
429,6.10865,0.326103
430,4.82938,4.07069
431,7.11916,6.10603
432,5.01026,0.535
433,4.21701,6.26003
434,4.12358,3.85741
435,4.98361,0.457931
436,6.26135,5.30838
437,8.11982,0.485276
438,6.39591,4.50841
439,3.99511,7.13214
440,6.60814,2.97214
441,7.85858,0.299069
442,3.8535,7.40269
443,4.04766,5.38921
444,5.73993,0.441448
445,7.34606,4.05952
446,0.306131,5.95003
447,5.84066,6.07448
448,4.18241,3.83762
449,0.458066,7.35803
450,4.43453,0.285931
451,5.65836,4.51303
452,4.75642,3.72359
453,0.416131,4.80307
454,5.16635,0.392552
455,7.35861,4.37969
456,6.0069,6.83034
457,6.46478,6.83914
458,0.50573,3.3819
459,6.81558,0.283828
460,6.45161,6.84659
461,0.432956,3.81779
462,3.86058,6.38603
463,5.4265,8.31424
464,5.55942,0.360207
465,5.76369,3.99938
466,6.68821,3.76597
467,4.26529,6.17755
468,5.19814,4.37434
469,0.478759,6.7349
470,4.32467,6.77807
471,6.03755,3.72217
472,3.79536,0.479724
473,5.3254,4.38452
474,4.055,3.76231
475,6.19682,6.02279
476,8.33478,6.11845
477,4.4323,5.30093
478,4.78018,6.65607
479,6.38157,0.510103
480,0.345584,6.68459
481,4.50993,3.1909
482,5.69255,0.241655
483,7.19383,8.31966
484,4.73978,0.333172
485,7.28102,6.45528
486,7.7496,0.615759
487,3.84818,6.80776
488,7.02073,4.656
489,8.33894,5.57248
490,0.541241,8.5599
491,7.03964,5.29103
492,2.80679,5.88197
493,5.60606,8.55921
494,6.08985,4.93007
495,3.35391,6.81131
496,4.48599,8.68803
497,3.76518,0.546276
498,5.13639,4.78855
499,4.44642,7.88145
500,4.13752,8.60979
501,4.01252,4.264
502,4.97982,5.58597
503,4.55515,5.53817
504,6.36332,5.72952
505,4.77755,9.0041
506,3.69661,0.25631
507,7.09661,6.0231
508,5.84672,0.612655
509,3.6496,4.20152
510,6.60434,7.75403
511,4.42131,5.66417
512,4.06858,6.03562
513,5.00175,9.35566
514,3.82839,0.436966
515,4.04595,6.2879
516,0.445766,6.91659
517,5.14693,7.789
518,5.20894,7.06376
519,4.74562,0.563345
520,4.53927,8.79548
521,7.83029,3.28528
522,6.63456,8.47469
523,4.16737,3.51507
524,0.512299,6.48076
525,4.2538,8.18986
526,0.455949,3.94521
527,4.99526,0.484897
528,3.36544,5.06141
529,4.25737,0.50269
530,6.53347,3.6901
531,4.60591,6.1069
532,0.359599,5.28403
533,4.8662,4.23714
534,6.61901,0.471759
535,6.60785,5.64559
536,4.70828,5.44776
537,4.73007,4.583
538,6.30077,4.30193
539,3.89978,0.428862
540,5.70741,4.99441
541,7.47266,3.75517
542,2.6608,7.05214
543,7.31208,3.92448
544,6.80066,4.53159
545,4.01639,4.53166
546,4.9796,4.94486
547,0.578139,4.21645
548,3.75496,3.77307
549,3.89752,5.58359
550,5.9504,0.439862
551,3.79091,5.61203
552,0.386569,3.91231
553,4.65551,4.64703
554,6.4523,8.25883
555,4.74321,6.83645
556,3.75945,3.97207
557,0.360584,0.432172
558,4.26161,6.13759
559,3.56839,4.729
560,3.6538,4.56166
561,3.2831,2.82255
562,4.74869,0.385966
563,7.04657,3.99476
564,2.67077,6.45645
565,5.23004,4.14503
566,0.279453,0.351276
567,7.23277,4.70486
568,5.21595,6.53034
569,3.65383,0.552966
570,5.925,6.7101
571,5.68737,4.471
572,2.93901,4.92824
573,5.83442,6.49614
574,3.55077,0.444862
575,4.39453,6.89262
576,6.32901,0.325345
577,5.20464,8.23572
578,3.65584,2.50197
579,3.68248,7.70076
580,0.474818,7.33976
581,4.18964,4.15079
582,6.40131,4.80214
583,5.82354,
584,3.41971,
585,6.73314,
586,5.07679,
587,3.23599,
588,6.18883,
589,5.27792,
590,3.45872,
591,5.56066,
592,5.89796,
593,3.55788,
594,5.95668,
595,0.425,
596,5.85051,
597,3.03445,
598,6.39219,
599,2.87818,
600,4.84033,
601,4.05223,
602,3.8381,
603,0.460876,
604,3.8412,
605,4.01989,
606,3.82274,
607,3.31723,
608,4.56015,
609,6.45299,
610,5.31792,
611,0.522007,
612,3.20869,
613,6.39938,
614,6.12828,
615,3.65102,
616,4.78803,
617,0.292518,
618,6.63172,
619,3.28982,
620,4.86336,
621,5.58558,
622,0.626241,
623,4.17982,
624,3.93931,
625,4.55117,
626,3.64416,
627,4.33989,
628,0.255109,
629,4.5638,
630,2.83938,
631,5.79828,
632,4.35814,
633,0.384088,
634,3.08055,
635,3.80639,
636,5.99062,
637,0.46062,
638,2.46672,
639,3.17664,
640,2.3488,
641,4.2604,
642,4.23745,
643,4.03964,
644,0.340693,
645,3.56314,
646,3.29584,
647,4.91891,
648,4.61157,
649,3.97832,
650,3.27668,
651,3.84752,
652,2.85117,
653,3.8342,
654,3.49748,
655,5.46588,
656,4.82708,
657,3.63489,
658,4.84058,
659,4.10088,
660,3.15931,
661,4.07682,
662,0.201168,
663,2.99781,
664,0.325073,
665,4.81172,
666,5.39296,
667,3.75442,
668,3.29073,
669,5.05646,
670,4.72277,
671,3.46182,
672,4.25529,
673,3.94675,
674,4.17894,
675,4.52285,
676,1.31898,
677,1.69215,
678,1.88266,
679,1.5185,
680,1.94515,
681,1.87131,
682,1.60518,
683,0.209161,
684,1.55036,
685,0.507372,
686,1.21088,
687,1.0242,
688,1.29555,
689,0.439599,
690,1.645,
691,1.59398,
692,0.385766,
693,1.6508,
694,1.36693,
695,0.390657,
696,1.3781,
697,1.29734,
698,1.11606,
699,0.566423,
700,1.34971,
701,0.884197,
702,1.04376,
703,1.39953,
704,1.06117,
705,0.407409,
706,1.11091,
707,0.933321,
708,1.00901,
709,1.22347,
710,0.412263,
711,1.00971,
712,0.859599,
713,0.36854,
714,0.915657,
715,0.873905,
716,0.827007,
717,1.00515,
718,0.311642,
719,0.921642,
720,0.878905,
721,0.881861,
722,0.855547,
723,0.926241,
