x,y,z
1.5,1.5,0.532
1.5,1.5,0.534
1.5,1.5,0.536
1.5,1.5,0.538
1.5,1.5,0.54
1.5,1.5,0.542
1.5,1.5,0.544
1.5,1.5,0.546
1.5,1.5,0.548
1.5,1.5,0.55
1.5,1.5,0.552
1.5,1.5,0.554
1.5,1.5,0.556
1.5,1.5,0.558
1.5,1.5,0.56
1.5,1.5,0.562
1.5,1.5,0.564
1.5,1.5,0.566
1.5,1.5,0.568
1.5,1.5,0.57
1.5,1.5,0.572
1.5,1.5,0.574
1.5,1.5,0.576
1.5,1.5,0.578
1.5,1.5,0.58
1.5,1.5,0.582
1.5,1.5,0.584
1.5,1.5,0.586
1.5,1.5,0.588
1.5,1.5,0.59
1.5,1.5,0.592
1.5,1.5,0.594
1.5,1.5,0.596
1.5,1.5,0.598
1.5,1.5,0.6
1.5,1.5,0.602
1.5,1.5,0.604
1.5,1.5,0.606
1.5,1.5,0.608
1.5,1.5,0.61
1.5,1.5,0.612
1.5,1.5,0.614
1.5,1.5,0.616
1.5,1.5,0.618
1.5,1.5,0.62
1.5,1.5,0.622
1.5,1.5,0.624
1.5,1.5,0.626
1.5,1.5,0.628
1.5,1.5,0.63
1.5,1.5,0.632
1.5,1.5,0.634
1.5,1.5,0.636
1.5,1.5,0.638
1.5,1.5,0.64
1.5,1.5,0.642
1.5,1.5,0.644
1.5,1.5,0.646
1.5,1.5,0.648
1.5,1.5,0.65
1.5,1.5,0.652
1.5,1.5,0.654
1.5,1.5,0.656
1.5,1.5,0.658
1.5,1.5,0.66
1.5,1.5,0.662
1.5,1.5,0.664
1.5,1.5,0.666
1.5,1.5,0.668
1.5,1.5,0.67
1.5,1.5,0.672
1.5,1.5,0.674
1.5,1.5,0.676
1.5,1.5,0.678
1.5,1.5,0.68
1.5,1.5,0.682
1.5,1.5,0.684
1.5,1.5,0.686
1.5,1.5,0.688
1.5,1.5,0.69
1.5,1.5,0.692
1.5,1.5,0.694
1.5,1.5,0.696
1.5,1.5,0.698
1.5,1.5,0.7
1.5,1.5,0.702
1.5,1.5,0.704
1.5,1.5,0.706
1.5,1.5,0.708
1.5,1.5,0.71
1.5,1.5,0.712
1.5,1.5,0.714
1.5,1.5,0.716
1.5,1.5,0.718
1.5,1.5,0.72
1.5,1.5,0.722
1.5,1.5,0.724
1.5,1.5,0.726
1.5,1.5,0.728
1.5,1.5,0.73
1.5,1.5,0.732
